country,date,sales,value
Norway,Dec 2012,0,
Norway,Mar 2013,0,
Norway,Jun 2013,0,
Norway,Sep 2013,808,
Norway,Dec 2013,1178,
Norway,Mar 2014,2056,
Norway,Jun 2014,1080,
Norway,Sep 2014,401,
Norway,Dec 2014,505,
Norway,Mar 2015,1532,
Norway,Jun 2015,1142,
Norway,Sep 2015,569,
Norway,Dec 2015,796,
Norway,Mar 2016,705,
Norway,Jun 2016,543,
Norway,Sep 2016,1252,
Norway,Dec 2016,0,
Switzerland,Dec 2012,0,
Switzerland,Mar 2013,0,
Switzerland,Jun 2013,0,
Switzerland,Sep 2013,111,
Switzerland,Dec 2013,102,
Switzerland,Mar 2014,133,
Switzerland,Jun 2014,120,
Switzerland,Sep 2014,93,
Switzerland,Dec 2014,147,
Switzerland,Mar 2015,198,
Switzerland,Jun 2015,440,
Switzerland,Sep 2015,511,
Switzerland,Dec 2015,407,
Switzerland,Mar 2016,430,
Switzerland,Jun 2016,365,
Switzerland,Sep 2016,488,
Switzerland,Dec 2016,0,
Netherlands,Dec 2012,0,
Netherlands,Mar 2013,0,
Netherlands,Jun 2013,0,
Netherlands,Sep 2013,179,
Netherlands,Dec 2013,948,
Netherlands,Mar 2014,207,
Netherlands,Jun 2014,356,
Netherlands,Sep 2014,390,
Netherlands,Dec 2014,515,
Netherlands,Mar 2015,407,
Netherlands,Jun 2015,478,
Netherlands,Sep 2015,409,
Netherlands,Dec 2015,580,
Netherlands,Mar 2016,530,
Netherlands,Jun 2016,353,
Netherlands,Sep 2016,633,
Netherlands,Dec 2016,0,
Sweden,Dec 2012,0,
Sweden,Mar 2013,0,
Sweden,Jun 2013,0,
Sweden,Sep 2013,0,
Sweden,Dec 2013,16,
Sweden,Mar 2014,34,
Sweden,Jun 2014,83,
Sweden,Sep 2014,48,
Sweden,Dec 2014,96,
Sweden,Mar 2015,138,
Sweden,Jun 2015,294,
Sweden,Sep 2015,288,
Sweden,Dec 2015,276,
Sweden,Mar 2016,198,
Sweden,Jun 2016,153,
Sweden,Sep 2016,408,
Sweden,Dec 2016,0,
Austria,Dec 2012,0,
Austria,Mar 2013,0,
Austria,Jun 2013,0,
Austria,Sep 2013,14,
Austria,Dec 2013,34,
Austria,Mar 2014,38,
Austria,Jun 2014,34,
Austria,Sep 2014,29,
Austria,Dec 2014,35,
Austria,Mar 2015,79,
Austria,Jun 2015,134,
Austria,Sep 2015,163,
Austria,Dec 2015,116,
Austria,Mar 2016,196,
Austria,Jun 2016,166,
Austria,Sep 2016,219,
Austria,Dec 2016,0,
Belgium,Dec 2012,0,
Belgium,Mar 2013,0,
Belgium,Jun 2013,0,
Belgium,Sep 2013,0,
Belgium,Dec 2013,148,
Belgium,Mar 2014,136,
Belgium,Jun 2014,148,
Belgium,Sep 2014,77,
Belgium,Dec 2014,160,
Belgium,Mar 2015,200,
Belgium,Jun 2015,248,
Belgium,Sep 2015,192,
Belgium,Dec 2015,180,
Belgium,Mar 2016,238,
Belgium,Jun 2016,143,
Belgium,Sep 2016,249,
Belgium,Dec 2016,0,
United Kingdom,Dec 2012,0,
United Kingdom,Mar 2013,0,
United Kingdom,Jun 2013,0,
United Kingdom,Sep 2013,0,
United Kingdom,Dec 2013,0,
United Kingdom,Mar 2014,0,
United Kingdom,Jun 2014,192,
United Kingdom,Sep 2014,282,
United Kingdom,Dec 2014,244,
United Kingdom,Mar 2015,205,
United Kingdom,Jun 2015,144,
United Kingdom,Sep 2015,321,
United Kingdom,Dec 2015,800,
United Kingdom,Mar 2016,762,
United Kingdom,Jun 2016,501,
United Kingdom,Sep 2016,638,
United Kingdom,Dec 2016,0,
Denmark,Dec 2012,0,
Denmark,Mar 2013,0,
Denmark,Jun 2013,0,
Denmark,Sep 2013,43,
Denmark,Dec 2013,69,
Denmark,Mar 2014,111,
Denmark,Jun 2014,114,
Denmark,Sep 2014,77,
Denmark,Dec 2014,158,
Denmark,Mar 2015,219,
Denmark,Jun 2015,284,
Denmark,Sep 2015,335,
Denmark,Dec 2015,1886,
Denmark,Mar 2016,37,
Denmark,Jun 2016,41,
Denmark,Sep 2016,28,
Denmark,Dec 2016,0,
Germany,Dec 2012,0,
Germany,Mar 2013,0,
Germany,Jun 2013,0,
Germany,Sep 2013,56,
Germany,Dec 2013,148,
Germany,Mar 2014,239,
Germany,Jun 2014,207,
Germany,Sep 2014,130,
Germany,Dec 2014,239,
Germany,Mar 2015,294,
Germany,Jun 2015,402,
Germany,Sep 2015,395,
Germany,Dec 2015,491,
Germany,Mar 2016,397,
Germany,Jun 2016,381,
Germany,Sep 2016,637,
Germany,Dec 2016,0,
Finland,Dec 2012,0,
Finland,Mar 2013,0,
Finland,Jun 2013,0,
Finland,Sep 2013,0,
Finland,Dec 2013,2,
Finland,Mar 2014,13,
Finland,Jun 2014,33,
Finland,Sep 2014,19,
Finland,Dec 2014,29,
Finland,Mar 2015,19,
Finland,Jun 2015,36,
Finland,Sep 2015,61,
Finland,Dec 2015,30,
Finland,Mar 2016,30,
Finland,Jun 2016,19,
Finland,Sep 2016,35,
Finland,Dec 2016,0,
France,Dec 2012,0,
France,Mar 2013,0,
France,Jun 2013,0,
France,Sep 2013,12,
France,Dec 2013,7,
France,Mar 2014,58,
France,Jun 2014,106,
France,Sep 2014,54,
France,Dec 2014,110,
France,Mar 2015,120,
France,Jun 2015,206,
France,Sep 2015,183,
France,Dec 2015,199,
France,Mar 2016,207,
France,Jun 2016,206,
France,Sep 2016,244,
France,Dec 2016,0,
Italy,Dec 2012,0,
Italy,Mar 2013,0,
Italy,Jun 2013,0,
Italy,Sep 2013,0,
Italy,Dec 2013,8,
Italy,Mar 2014,20,
Italy,Jun 2014,7,
Italy,Sep 2014,8,
Italy,Dec 2014,18,
Italy,Mar 2015,7,
Italy,Jun 2015,32,
Italy,Sep 2015,41,
Italy,Dec 2015,38,
Italy,Mar 2016,49,
Italy,Jun 2016,54,
Italy,Sep 2016,76,
Italy,Dec 2016,0,
